County,Population 2015,State
Autauga County,55347,Alabama
Baldwin County,203709,Alabama
Barbour County,26489,Alabama
Bibb County,22583,Alabama
Blount County,57673,Alabama
Bullock County,10696,Alabama
Butler County,20154,Alabama
Calhoun County,115620,Alabama
Chambers County,34123,Alabama
Cherokee County,25859,Alabama
Chilton County,43943,Alabama
Choctaw County,13170,Alabama
Clarke County,24675,Alabama
Clay County,13555,Alabama
Cleburne County,15018,Alabama
Coffee County,51211,Alabama
Colbert County,54354,Alabama
Conecuh County,12672,Alabama
Coosa County,10724,Alabama
Covington County,37835,Alabama
Crenshaw County,13963,Alabama
Cullman County,82005,Alabama
Dale County,49565,Alabama
Dallas County,41131,Alabama
DeKalb County,71130,Alabama
Elmore County,81468,Alabama
Escambia County,37789,Alabama
Etowah County,103057,Alabama
Fayette County,16759,Alabama
Franklin County,31696,Alabama
Geneva County,26777,Alabama
Greene County,8479,Alabama
Hale County,15068,Alabama
Henry County,17221,Alabama
Houston County,104173,Alabama
Jackson County,52419,Alabama
Jefferson County,660367,Alabama
Lamar County,13886,Alabama
Lauderdale County,92596,Alabama
Lawrence County,33115,Alabama
Lee County,156993,Alabama
Limestone County,91663,Alabama
Lowndes County,10458,Alabama
Macon County,19105,Alabama
Madison County,353089,Alabama
Marengo County,20028,Alabama
Marion County,30168,Alabama
Marshall County,94725,Alabama
Mobile County,415395,Alabama
Monroe County,21673,Alabama
Montgomery County,226519,Alabama
Morgan County,119565,Alabama
Perry County,9652,Alabama
Pickens County,20864,Alabama
Pike County,33046,Alabama
Randolph County,22696,Alabama
Russell County,59660,Alabama
St. Clair County,87074,Alabama
Shelby County,208713,Alabama
Sumter County,13103,Alabama
Talladega County,80862,Alabama
Tallapoosa County,40844,Alabama
Tuscaloosa County,203976,Alabama
Walker County,65294,Alabama
Washington County,16804,Alabama
Wilcox County,11059,Alabama
Winston County,23877,Alabama
Aleutians East Borough,3341,Alaska
Aleutians West Census Area,5702,Alaska
Anchorage Municipality,298695,Alaska
Bethel Census Area,17946,Alaska
Bristol Bay Borough,892,Alaska
Denali Borough,1919,Alaska
Dillingham Census Area,4997,Alaska
Fairbanks North Star Borough,99631,Alaska
Haines Borough,2534,Alaska
Hoonah-Angoon Census Area,2133,Alaska
Juneau City and Borough,32756,Alaska
Kenai Peninsula Borough,58059,Alaska
Ketchikan Gateway Borough,13709,Alaska
Kodiak Island Borough,13889,Alaska
Kusilvak Census Area,8119,Alaska
Lake and Peninsula Borough,1563,Alaska
Matanuska-Susitna Borough,101095,Alaska
Nome Census Area,9846,Alaska
North Slope Borough,9687,Alaska
Northwest Arctic Borough,7752,Alaska
Petersburg Borough,3177,Alaska
Prince of Wales-Hyder Census Area,6341,Alaska
Sitka City and Borough,8863,Alaska
Skagway Municipality,1057,Alaska
Southeast Fairbanks Census Area,6839,Alaska
Valdez-Cordova Census Area,9362,Alaska
Wrangell City and Borough,2382,Alaska
Yakutat City and Borough,613,Alaska
Yukon-Koyukuk Census Area,5533,Alaska
Apache County,71474,Arizona
Cochise County,126427,Arizona
Coconino County,139097,Arizona
Gila County,53159,Arizona
Graham County,37666,Arizona
Greenlee County,9529,Arizona
La Paz County,20152,Arizona
Maricopa County,4167947,Arizona
Mohave County,204737,Arizona
Navajo County,108277,Arizona
Pima County,1010025,Arizona
Pinal County,406584,Arizona
Santa Cruz County,46461,Arizona
Yavapai County,222255,Arizona
Yuma County,204275,Arizona
Arkansas County,18433,Arkansas
Ashley County,20838,Arkansas
Baxter County,41053,Arkansas
Benton County,249672,Arkansas
Boone County,37222,Arkansas
Bradley County,11094,Arkansas
Calhoun County,5229,Arkansas
Carroll County,27704,Arkansas
Chicot County,11027,Arkansas
Clark County,22633,Arkansas
Clay County,15109,Arkansas
Cleburne County,25467,Arkansas
Cleveland County,8311,Arkansas
Columbia County,24114,Arkansas
Conway County,21019,Arkansas
Craighead County,104354,Arkansas
Crawford County,61703,Arkansas
Crittenden County,48963,Arkansas
Cross County,17284,Arkansas
